ID,Address,Size,Price,Rooms,Floor,Quality,Inner Height,Heating,Furnished,Balcony,Pet,Year Built,Floors,Lift,Orientation,View,kerület
358916," Diós árok, XII. kerület",135,518910.0,4,1,renovated,less than 3m,gáz (cirko),by arrangement,10.0,not allowed,between 2001-2010,3,no,south west,panoramic,XII
1476912," Pasarét, II. kerület",62,210000.0,3,2,in good condition,not defined,gáz (cirko),not furnished,3.0,not defined,between 1950-1980,not defined,no,north east,garden,II
1702094," Andrássy út, VI. kerület",192,1455400.0,5,2,renovated,more than 3m,gáz (cirko),furnished,not defined,allowed,not defined,2,no,west,street,VI
2080456," Károly körút, V. kerület",130,544230.0,4,4,new,more than 3m,gáz (cirko),by arrangement,5.0,not defined,before 1950,4,yes,not defined,panoramic,V
2389231," Krisztinaváros, XII. kerület",135,385000.0,4,2,in good condition,more than 3m,házközponti,not furnished,8.0,not allowed,before 1950,4,yes,west,street,XII
2703725," Béla király út, XII. kerület",130,563968.0,4,1,new,not defined,gáz (cirko),furnished,10.0,not allowed,not defined,not defined,yes,not defined,garden,XII
2747776," Hegyalja út, I. kerület",34,85000.0,1,mezzanine,renovated,less than 3m,házközponti egyedi méréssel,not furnished,2.0,not allowed,before 1950,5,yes,south west,courtyard,I
3233817," Pecz Samu utca, XI. kerület",43,160000.0,2,2,new,not defined,házközponti egyedi méréssel,furnished,18.0,not defined,between 2001-2010,3,yes,not defined,garden,XI
3727992," Kútvölgy, XII. kerület",150,473005.0,5,2,not defined,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,3,yes,not defined,panoramic,XII
4589835," Andrássy út, VI. kerület",161,1016597.0,5,5,renovated,not defined,házközponti egyedi méréssel,not furnished,not defined,not defined,between 2001-2010,5,yes,not defined,street,VI
4850962," Ifjúmunkás utca, IX. kerület",40,110000.0,2,7,in good condition,less than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,10,yes,south east,street,IX
4862908," Wesselényi utca 2, VII. kerület",70,150000.0,3,3,in good condition,not defined,"elektromos, cserépkályha",not furnished,not defined,not allowed,not defined,5,yes,not defined,street,VII
5022796," Mecset utca, II. kerület",98,582160.0,4,2,new,not defined,gáz (cirko),furnished,not defined,allowed,not defined,not defined,yes,not defined,panoramic,II
5098150," Nagymező utca, VI. kerület",63,218310.0,2,3,in good condition,not defined,gáz (cirko),by arrangement,not defined,not allowed,not defined,not defined,yes,not defined,street,VI
5107217," Tulipán utca, II. kerület",96,544230.0,3,0,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,before 1950,not defined,no,not defined,panoramic,II
5179306," Röppentyű utca, XIII. kerület",46,115000.0,2,2,renovated,less than 3m,házközponti egyedi méréssel,furnished,6.0,not allowed,between 2001-2010,4,yes,south west,street,XIII
5318160," Holló utca 12, VII. kerület",56,163269.0,2,5,newly built,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,not defined,5,yes,not defined,street,VII
5394534," Corvin sétány, VIII. kerület",67,200000.0,3,4,newly built,less than 3m,házközponti egyedi méréssel,furnished,not defined,allowed,not defined,9,yes,south,street,VIII
5512953," Hegedű utca, VI. kerület",40,100000.0,2,0,renovated,not defined,gáz (konvektor),not furnished,not defined,not allowed,not defined,3,not defined,not defined,courtyard,VI
5575634," Bécsi utca, V. kerület",105,400235.0,2,4,renovated,more than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,5,yes,not defined,street,V
5578212," Garam utca, XIII. kerület",27,75000.0,1,0,in good condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,5,yes,not defined,courtyard,XIII
5579279," Mátyáshegy, III. kerület",120,946010.0,4,0,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,not defined,not defined,not defined,panoramic,III
5657384," Abonyi utca, XIV. kerület",135,355707.0,4,2,renovated,more than 3m,házközponti,partly furnished,5.0,not defined,before 1950,3,no,not defined,street,XIV
5811559," Áfonya utca, II. kerület",110,544230.0,4,1,renovated,less than 3m,gáz (cirko),not defined,48.0,allowed,not defined,2,no,not defined,garden,II
5904823," Váci utca, V. kerület",53,105000.0,1,3,renovated,not defined,gáz (konvektor),furnished,not defined,not defined,not defined,not defined,yes,not defined,courtyard,V
5998566," Nap utca, VIII. kerület",53,140000.0,3,not defined,in good condition,less than 3m,távfűtés,furnished,3.0,not allowed,between 1981-2000,10,yes,south east,street,VIII
6008841," Ráth György utca, XII. kerület",45,120000.0,1,3,renovated,not defined,elektromos,furnished,not defined,allowed,not defined,5,no,not defined,courtyard,XII
6031179," Országút, II. kerület",120,509390.0,3,0,new,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,not defined,yes,not defined,not defined,II
6082452," Sas utca, V. kerület",70,509390.0,3,3,renovated,not defined,gáz (cirko),by arrangement,not defined,allowed,not defined,not defined,no,not defined,courtyard,V
6085822," Béla király út, XII. kerület",64,175000.0,3,2,in good condition,less than 3m,gáz (cirko),not furnished,4.0,not allowed,not defined,3,no,east,garden,XII
6092615," Várfok utca, I. kerület",66,160000.0,3,3,in good condition,not defined,házközponti,not furnished,not defined,not allowed,not defined,4,yes,not defined,panoramic,I
