ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner Height,Heating,Furnished,Balcony,Pet,Year Built,Floors,Lift,Orientation,View,kerület,Raw Address,Address_y,lat,lon
358916," Diós árok, XII. kerület",135,518910.0,4,1,renovated,less than 3m,gáz (cirko),by arrangement,10.0,not allowed,between 2001-2010,3,no,south west,panoramic,XII," Diós árok, "," Diós árok, ",47.8007392,18.8542726
1476912," Pasarét, II. kerület",62,210000.0,3,2,in good condition,not defined,gáz (cirko),not furnished,3.0,not defined,between 1950-1980,not defined,no,north east,garden,II," Pasarét, "," Pasarét, ",47.5202876,18.9973722
1702094," Andrássy út, VI. kerület",192,1455400.0,5,2,renovated,more than 3m,gáz (cirko),furnished,not defined,allowed,not defined,2,no,west,street,VI," Andrássy út, "," Andrássy út, ",47.5065213,19.0652946
2080456," Károly körút, V. kerület",130,544230.0,4,4,new,more than 3m,gáz (cirko),by arrangement,5.0,not defined,before 1950,4,yes,not defined,panoramic,V," Károly körút, "," Károly körút, ",47.4951765,19.0594974
2389231," Krisztinaváros, XII. kerület",135,385000.0,4,2,in good condition,more than 3m,házközponti,not furnished,8.0,not allowed,before 1950,4,yes,west,street,XII," Krisztinaváros, "," Krisztinaváros, ",47.4968655,19.0297756
2703725," Béla király út, XII. kerület",130,563968.0,4,1,new,not defined,gáz (cirko),furnished,10.0,not allowed,not defined,not defined,yes,not defined,garden,XII," Béla király út, "," Béla király út, ",47.5111477,18.9724305
2747776," Hegyalja út, I. kerület",34,85000.0,1,mezzanine,renovated,less than 3m,házközponti egyedi méréssel,not furnished,2.0,not allowed,before 1950,5,yes,south west,courtyard,I," Hegyalja út, "," Hegyalja út, ",47.4883598,19.0302763
3233817," Pecz Samu utca, XI. kerület",43,160000.0,2,2,new,not defined,házközponti egyedi méréssel,furnished,18.0,not defined,between 2001-2010,3,yes,not defined,garden,XI," Pecz Samu utca, "," Pecz Samu utca, ",47.4665429,19.0115846
3727992," Kútvölgy, XII. kerület",150,473005.0,5,2,not defined,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,3,yes,not defined,panoramic,XII," Kútvölgy, "," Kútvölgy, ",47.5094194,18.9907247
4589835," Andrássy út, VI. kerület",161,1016597.0,5,5,renovated,not defined,házközponti egyedi méréssel,not furnished,not defined,not defined,between 2001-2010,5,yes,not defined,street,VI," Andrássy út, "," Andrássy út, ",47.5065213,19.0652946
4850962," Ifjúmunkás utca, IX. kerület",40,110000.0,2,7,in good condition,less than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,10,yes,south east,street,IX," Ifjúmunkás utca, "," Ifjúmunkás utca, ",47.4676621,19.1096319
4862908," Wesselényi utca 2, VII. kerület",70,150000.0,3,3,in good condition,not defined,"elektromos, cserépkályha",not furnished,not defined,not allowed,not defined,5,yes,not defined,street,VII," Wesselényi utca 2, "," Wesselényi utca 2, ",47.6399079,18.8285187
5022796," Mecset utca, II. kerület",98,582160.0,4,2,new,not defined,gáz (cirko),furnished,not defined,allowed,not defined,not defined,yes,not defined,panoramic,II," Mecset utca, "," Mecset utca, ",47.5138382,19.0345993
5098150," Nagymező utca, VI. kerület",63,218310.0,2,3,in good condition,not defined,gáz (cirko),by arrangement,not defined,not allowed,not defined,not defined,yes,not defined,street,VI," Nagymező utca, "," Nagymező utca, ",47.5028532,19.0611973
5107217," Tulipán utca, II. kerület",96,544230.0,3,0,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,before 1950,not defined,no,not defined,panoramic,II," Tulipán utca, "," Tulipán utca, ",47.0919899,17.9182614
5179306," Röppentyű utca, XIII. kerület",46,115000.0,2,2,renovated,less than 3m,házközponti egyedi méréssel,furnished,6.0,not allowed,between 2001-2010,4,yes,south west,street,XIII," Röppentyű utca, "," Röppentyű utca, ",47.5355922,19.0751487
5318160," Holló utca 12, VII. kerület",56,163269.0,2,5,newly built,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,not defined,5,yes,not defined,street,VII," Holló utca 12, "," Holló utca 12, ",46.84775545,16.8834923
5394534," Corvin sétány, VIII. kerület",67,200000.0,3,4,newly built,less than 3m,házközponti egyedi méréssel,furnished,not defined,allowed,not defined,9,yes,south,street,VIII," Corvin sétány, "," Corvin sétány, ",47.485899599999996,19.07519187896299
5512953," Hegedű utca, VI. kerület",40,100000.0,2,0,renovated,not defined,gáz (konvektor),not furnished,not defined,not allowed,not defined,3,not defined,not defined,courtyard,VI," Hegedű utca, "," Hegedű utca, ",47.5023276,19.0634221
5575634," Bécsi utca, V. kerület",105,400235.0,2,4,renovated,more than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,5,yes,not defined,street,V," Bécsi utca, "," Bécsi utca, ",47.4956675,19.0524235
5578212," Garam utca, XIII. kerület",27,75000.0,1,0,in good condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,5,yes,not defined,courtyard,XIII," Garam utca, "," Garam utca, ",47.4375566,19.2001527
5579279," Mátyáshegy, III. kerület",120,946010.0,4,0,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,not defined,not defined,not defined,panoramic,III," Mátyáshegy, "," Mátyáshegy, ",47.5336215,19.0228064
5657384," Abonyi utca, XIV. kerület",135,355707.0,4,2,renovated,more than 3m,házközponti,partly furnished,5.0,not defined,before 1950,3,no,not defined,street,XIV," Abonyi utca, "," Abonyi utca, ",47.5073312,19.0898809
5811559," Áfonya utca, II. kerület",110,544230.0,4,1,renovated,less than 3m,gáz (cirko),not defined,48.0,allowed,not defined,2,no,not defined,garden,II," Áfonya utca, "," Áfonya utca, ",47.5217936,19.0251287
5904823," Váci utca, V. kerület",53,105000.0,1,3,renovated,not defined,gáz (konvektor),furnished,not defined,not defined,not defined,not defined,yes,not defined,courtyard,V," Váci utca, "," Váci utca, ",47.4921529,19.053635
5998566," Nap utca, VIII. kerület",53,140000.0,3,not defined,in good condition,less than 3m,távfűtés,furnished,3.0,not allowed,between 1981-2000,10,yes,south east,street,VIII," Nap utca, "," Nap utca, ",47.5291016,21.6359899
6008841," Ráth György utca, XII. kerület",45,120000.0,1,3,renovated,not defined,elektromos,furnished,not defined,allowed,not defined,5,no,not defined,courtyard,XII," Ráth György utca, "," Ráth György utca, ",47.5028345,19.0168374
6031179," Országút, II. kerület",120,509390.0,3,0,new,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,not defined,yes,not defined,not defined,II," Országút, "," Országút, ",47.5117089,19.0272866
6082452," Sas utca, V. kerület",70,509390.0,3,3,renovated,not defined,gáz (cirko),by arrangement,not defined,allowed,not defined,not defined,no,not defined,courtyard,V," Sas utca, "," Sas utca, ",47.4428431,19.1175986
6085822," Béla király út, XII. kerület",64,175000.0,3,2,in good condition,less than 3m,gáz (cirko),not furnished,4.0,not allowed,not defined,3,no,east,garden,XII," Béla király út, "," Béla király út, ",47.5111477,18.9724305
6092615," Várfok utca, I. kerület",66,160000.0,3,3,in good condition,not defined,házközponti,not furnished,not defined,not allowed,not defined,4,yes,not defined,panoramic,I," Várfok utca, "," Várfok utca, ",47.5059375,19.0278328
6255938," Batthyány utca, I. kerület",75,220000.0,2,3,renovated,not defined,gáz (cirko),not furnished,not defined,not allowed,not defined,4,no,not defined,panoramic,I," Batthyány utca, "," Batthyány utca, ",47.4525921,19.1449311
6268358," Budakeszi út, II. kerület",55,200000.0,2,2,new,not defined,házközponti egyedi méréssel,by arrangement,not defined,not defined,not defined,5,yes,not defined,panoramic,II," Budakeszi út, "," Budakeszi út, ",47.5207777,18.9389519
6268834," Balogh Ádám utca, II. kerület",160,787000.0,4,0,new,not defined,gáz (cirko),furnished,30.0,not allowed,not defined,3,yes,not defined,panoramic,II," Balogh Ádám utca, "," Balogh Ádám utca, ",47.5268258,18.9981174
6271159," Vár, I. kerület",82,363850.0,3,2,in good condition,more than 3m,gáz (cirko),not furnished,not defined,not defined,not defined,not defined,no,north east,street,I," Vár, "," Vár, ",43.4173592,6.2664620128919
6271849," Óra út, XII. kerület",215,1091550.0,5,1,in good condition,not defined,gáz (cirko),by arrangement,not defined,not defined,between 2001-2010,2,no,south east,panoramic,XII," Óra út, "," Óra út, ",47.5017213,19.0000479
6294732," Somogyi Béla utca, VIII. kerület",40,110000.0,1,0,in good condition,more than 3m,gáz (konvektor),furnished,not defined,not allowed,not defined,4,not defined,not defined,courtyard,VIII," Somogyi Béla utca, "," Somogyi Béla utca, ",48.1857326,21.2788611
6298571," Belső-Terézváros, VI. kerület",80,240000.0,3,5,in good condition,not defined,házközponti,not furnished,not defined,not defined,not defined,not defined,yes,not defined,street,VI," Belső-Terézváros, "," Belső-Terézváros, ",0,0
6310471," Hárshegyi út 23, II. kerület",100,465000.0,3,0,not defined,not defined,házközponti egyedi méréssel,furnished,not defined,not defined,not defined,2,yes,not defined,garden,II," Hárshegyi út 23, "," Hárshegyi út 23, ",47.525134249999994,18.965998058213646
6379565," Bajnok utca, VI. kerület",38,125000.0,1,3,renovated,more than 3m,elektromos,furnished,not defined,not defined,not defined,3,yes,east,street,VI," Bajnok utca, "," Bajnok utca, ",47.5116513,19.0662445
