ID,Address_x,Size,Price,Rooms,Floor,Quality,Inner_Height,Heating,Furnished,Balcony,Pet,Year_Built,Floors,Lift,Orientation,View,kerület,lat,lon,dist,Log(Price),LogPrice
1476912," Pasarét, II. kerület",62,210000.0,3,2,in good condition,not defined,gáz (cirko),not furnished,3.0,not defined,between 1950-1980,not defined,no,north east,garden,II,47.520287599999996,18.997372199999997,4.513111837494731,12.254862809699606,12.254862809699606
1702094," Andrássy út, VI. kerület",192,1455400.0,5,2,renovated,more than 3m,gáz (cirko),furnished,not defined,allowed,not defined,2,no,west,street,VI,47.506521299999996,19.0652946,1.2970803804827944,14.190791334895124,14.190791334895124
2080456," Károly körút, V. kerület",130,544230.0,4,4,new,more than 3m,gáz (cirko),by arrangement,5.0,not defined,before 1950,4,yes,not defined,panoramic,V,47.4951765,19.059497399999998,0.9490426519150594,13.207127230603477,13.207127230603477
2389231," Krisztinaváros, XII. kerület",135,385000.0,4,2,in good condition,more than 3m,házközponti,not furnished,8.0,not allowed,before 1950,4,yes,west,street,XII,47.496865500000006,19.0297756,1.5964782308892649,12.86099861326992,12.86099861326992
2703725," Béla király út, XII. kerület",130,563968.0,4,1,new,not defined,gáz (cirko),furnished,10.0,not allowed,not defined,not defined,yes,not defined,garden,XII,47.5111477,18.972430499999998,5.949866479083492,13.242752791281905,13.242752791281905
2747776," Hegyalja út, I. kerület",34,85000.0,1,mezzanine,renovated,less than 3m,házközponti egyedi méréssel,not furnished,2.0,not allowed,before 1950,5,yes,south west,courtyard,I,47.4883598,19.0302763,2.0453110994136643,11.350406535472453,11.350406535472453
3233817," Pecz Samu utca, XI. kerület",43,160000.0,2,2,new,not defined,házközponti egyedi méréssel,furnished,18.0,not defined,between 2001-2010,3,yes,not defined,garden,XI,47.4665429,19.011584600000003,4.7985253192994,11.982929094215963,11.982929094215963
3727992," Kútvölgy, XII. kerület",150,473005.0,5,2,not defined,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,3,yes,not defined,panoramic,XII,47.5094194,18.9907247,4.56457338536254,13.066861238242723,13.066861238242723
4589835," Andrássy út, VI. kerület",161,1016597.0,5,5,renovated,not defined,házközponti egyedi méréssel,not furnished,not defined,not defined,between 2001-2010,5,yes,not defined,street,VI,47.506521299999996,19.0652946,1.2970803804827944,13.831971332977403,13.831971332977403
4850962," Ifjúmunkás utca, IX. kerület",40,110000.0,2,7,in good condition,less than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,10,yes,south east,street,IX,47.467662100000005,19.1096319,5.802619075324184,11.608235644774552,11.608235644774552
4862908," Wesselényi utca 2, VII. kerület",70,150000.0,3,3,in good condition,not defined,"elektromos, cserépkályha",not furnished,not defined,not allowed,not defined,5,yes,not defined,street,VII,47.6399079,18.8285187,22.70799314282573,11.918390573078392,11.918390573078392
5022796," Mecset utca, II. kerület",98,582160.0,4,2,new,not defined,gáz (cirko),furnished,not defined,allowed,not defined,not defined,yes,not defined,panoramic,II,47.5138382,19.0345993,1.8524114072886493,13.274500603020968,13.274500603020968
5098150," Nagymező utca, VI. kerület",63,218310.0,2,3,in good condition,not defined,gáz (cirko),by arrangement,not defined,not allowed,not defined,not defined,yes,not defined,street,VI,47.502853200000004,19.0611973,0.8571570751824479,12.293671350009241,12.293671350009241
5179306," Röppentyű utca, XIII. kerület",46,115000.0,2,2,renovated,less than 3m,házközponti egyedi méréssel,furnished,6.0,not allowed,between 2001-2010,4,yes,south west,street,XIII,47.5355922,19.0751487,4.289484072255818,11.652687407345388,11.652687407345388
5394534," Corvin sétány, VIII. kerület",67,200000.0,3,4,newly built,less than 3m,házközponti egyedi méréssel,furnished,not defined,allowed,not defined,9,yes,south,street,VIII,47.4858996,19.07519187896299,2.516147953596076,12.206072645530174,12.206072645530174
5512953," Hegedű utca, VI. kerület",40,100000.0,2,0,renovated,not defined,gáz (konvektor),not furnished,not defined,not allowed,not defined,3,not defined,not defined,courtyard,VI,47.5023276,19.0634221,1.0091293353415263,11.512925464970229,11.512925464970229
5575634," Bécsi utca, V. kerület",105,400235.0,2,4,renovated,more than 3m,házközponti egyedi méréssel,furnished,not defined,not allowed,not defined,5,yes,not defined,street,V,47.495667499999996,19.0524235,0.6083840205705486,12.899807153579557,12.899807153579557
5578212," Garam utca, XIII. kerület",27,75000.0,1,0,in good condition,not defined,gáz (konvektor),furnished,not defined,not allowed,not defined,5,yes,not defined,courtyard,XIII,47.4375566,19.2001527,13.299194824923706,11.225243392518447,11.225243392518447
5579279," Mátyáshegy, III. kerület",120,946010.0,4,0,in good condition,not defined,gáz (cirko),furnished,not defined,not allowed,not defined,not defined,not defined,not defined,panoramic,III,47.5336215,19.022806399999997,4.177687990844746,13.760008418802668,13.760008418802668
5657384," Abonyi utca, XIV. kerület",135,355707.0,4,2,renovated,more than 3m,házközponti,partly furnished,5.0,not defined,before 1950,3,no,not defined,street,XIV,47.5073312,19.089880899999997,3.068990185048448,12.781862637248109,12.781862637248109
5811559," Áfonya utca, II. kerület",110,544230.0,4,1,renovated,less than 3m,gáz (cirko),not defined,48.0,allowed,not defined,2,no,not defined,garden,II,47.521793599999995,19.0251287,2.9878057480622853,13.207127230603477,13.207127230603477
5904823," Váci utca, V. kerület",53,105000.0,1,3,renovated,not defined,gáz (konvektor),furnished,not defined,not defined,not defined,not defined,yes,not defined,courtyard,V,47.4921529,19.053635,1.0094088375226722,11.56171562913966,11.56171562913966
6008841," Ráth György utca, XII. kerület",45,120000.0,1,3,renovated,not defined,elektromos,furnished,not defined,allowed,not defined,5,no,not defined,courtyard,XII,47.5028345,19.016837399999996,2.5127037408557,11.695247021764184,11.695247021764184
6031179," Országút, II. kerület",120,509390.0,3,0,new,not defined,gáz (cirko),not furnished,not defined,allowed,not defined,not defined,yes,not defined,not defined,II,47.511708899999995,19.0272866,2.0960002836168576,13.140969210396445,13.140969210396445
